path	class	owner	loc	safety	mutates	spends	destructive	emits_artifact	importers	in_package_json	in_ci	books	proposed_home	disposition	notes
backend/scripts/typeset-prototype.ts	BOOK-CLASS	multi-book	357	SAFE-READONLY	no	no	no	no	0	no	no	puberty/nottm|mg-chapter-book	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/derive-ttf.ts	BOOK-SPECIFIC	puberty/nottm	193	MUTATES-STATE	yes	no	no	no	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/dirt-rich-cover-pdf.ts	BOOK-SPECIFIC	dirt-rich	363	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-cover-rev4-edit.ts	BOOK-SPECIFIC	dirt-rich	58	MUTATES+SPENDS	yes	yes	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-cover-rev4-pdf.ts	BOOK-SPECIFIC	dirt-rich	363	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-figure-pipeline.ts	BOOK-SPECIFIC	dirt-rich	316	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-final-pagination.ts	BOOK-SPECIFIC	dirt-rich	127	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-final-verify.ts	BOOK-SPECIFIC	dirt-rich	54	MUTATES-STATE	yes	no	no	no	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-fix-figure-anchors.ts	BOOK-SPECIFIC	dirt-rich	128	SAFE-READONLY	no	no	no	no	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-gate.ts	BOOK-SPECIFIC	dirt-rich	197	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-inline-figures.ts	BOOK-SPECIFIC	dirt-rich	104	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-intake-local.ts	BOOK-SPECIFIC	dirt-rich	213	MUTATES-STATE	yes	no	no	no	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-page-review.ts	BOOK-SPECIFIC	dirt-rich	156	SAFE-READONLY	no	no	no	no	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-place-figures.ts	BOOK-SPECIFIC	dirt-rich	121	MUTATES-STATE	yes	no	no	no	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-place-interiors.ts	BOOK-SPECIFIC	dirt-rich	94	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-render-interiors.ts	BOOK-SPECIFIC	dirt-rich	149	SPENDS	no	yes	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev4-apply.ts	BOOK-SPECIFIC	dirt-rich	208	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev4-final-build.ts	BOOK-SPECIFIC	dirt-rich	74	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev4-paginate.ts	BOOK-SPECIFIC	dirt-rich	118	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev4-prod-read.ts	BOOK-SPECIFIC	dirt-rich	84	MUTATES-STATE	yes	no	no	no	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev4-prod-write.ts	BOOK-SPECIFIC	dirt-rich	110	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev5-apply.ts	BOOK-SPECIFIC	dirt-rich	118	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev5-final-build.ts	BOOK-SPECIFIC	dirt-rich	74	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev5-prod-write.ts	BOOK-SPECIFIC	dirt-rich	110	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-rev6-build.ts	BOOK-SPECIFIC	dirt-rich	89	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-strip-markers.ts	BOOK-SPECIFIC	dirt-rich	154	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-style-test.ts	BOOK-SPECIFIC	dirt-rich	71	SPENDS	no	yes	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-upload-assets-prod.ts	BOOK-SPECIFIC	dirt-rich	175	MUTATES-STATE	yes	no	no	no	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/illustration-candidates.ts	BOOK-SPECIFIC	puberty/nottm	236	SAFE-READONLY	no	no	no	no	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/national-parks-apply-corrections.ts	BOOK-SPECIFIC	national-parks	104	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-cover-art.ts	BOOK-SPECIFIC	national-parks	34	SPENDS	no	yes	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-cover-check.ts	BOOK-SPECIFIC	national-parks	377	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-cover-request.ts	BOOK-SPECIFIC	national-parks	52	WRITES-FILES	no	no	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-cover-spine-fix.ts	BOOK-SPECIFIC	national-parks	115	SPENDS	no	yes	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-cover.ts	BOOK-SPECIFIC	national-parks	391	MUTATES-STATE	yes	no	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-divider-art.ts	BOOK-SPECIFIC	national-parks	110	SPENDS	no	yes	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-endpieces.ts	BOOK-SPECIFIC	national-parks	178	SPENDS	no	yes	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-epub-check.ts	BOOK-SPECIFIC	national-parks	305	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-fidelity.ts	BOOK-SPECIFIC	national-parks	560	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-hardcover.ts	BOOK-SPECIFIC	national-parks	418	MUTATES-STATE	yes	no	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-intake-local.ts	BOOK-SPECIFIC	national-parks	155	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-interior-inventory.ts	BOOK-SPECIFIC	national-parks	167	SAFE-READONLY	no	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-interior-plates.ts	BOOK-SPECIFIC	national-parks	191	SPENDS	no	yes	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-kindle-cover-source.ts	BOOK-SPECIFIC	national-parks	110	WRITES-FILES	no	no	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-kindle-cover.ts	BOOK-SPECIFIC	national-parks	87	MUTATES-STATE	yes	no	no	yes	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-layout-overrides.ts	BOOK-SPECIFIC	national-parks	99	SAFE-READONLY	no	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-package-check-3.ts	BOOK-SPECIFIC	national-parks	369	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-plate-style.ts	BOOK-SPECIFIC	national-parks	60	SAFE-READONLY	no	no	no	no	1	no	no	national-parks	backend/scripts/lib/ (shared toolchain)	RELOCATE (path move only)	
backend/scripts/national-parks-print-check.ts	BOOK-SPECIFIC	national-parks	223	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/src/pipeline/qa/ (promote in Phase 3)	PROMOTE (Phase 3)	generic tool behind a book-specific filename
backend/scripts/national-parks-publication-facts.ts	BOOK-SPECIFIC	national-parks	92	SAFE-READONLY	no	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-spacing-audit.ts	BOOK-SPECIFIC	national-parks	380	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/src/pipeline/qa/ (promote in Phase 3)	PROMOTE (Phase 3)	generic tool behind a book-specific filename
backend/scripts/national-parks-spine-verify.ts	BOOK-SPECIFIC	national-parks	179	MUTATES-STATE	yes	no	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-stamp-endpieces.ts	BOOK-SPECIFIC	national-parks	140	MUTATES+SPENDS	yes	yes	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-stamp-plates.ts	BOOK-SPECIFIC	national-parks	154	MUTATES+SPENDS	yes	yes	no	no	0	no	no	national-parks	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/render-illustration.ts	BOOK-SPECIFIC	puberty/nottm	657	SPENDS	no	yes	no	no	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/rerender-about-series-bio.ts	BOOK-SPECIFIC	wildlands	81	MUTATES-STATE	yes	no	no	yes	0	no	no	wildlands	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/review-grid.ts	BOOK-SPECIFIC	puberty/nottm	227	WRITES-FILES	no	no	no	yes	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/seed-packet-upscale-cover.ts	BOOK-SPECIFIC	seed-packet	70	MUTATES+SPENDS	yes	yes	no	yes	0	no	no	seed-packet	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/shipped-render-regression.ts	BOOK-SPECIFIC	puberty/nottm	117	SAFE-READONLY	no	no	no	no	0	no	no	puberty/nottm	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/shoot-page.ts	BOOK-SPECIFIC	puberty/nottm	117	SAFE-READONLY	no	no	no	no	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/typeset-deep-fingerprint.ts	BOOK-SPECIFIC	puberty/nottm	179	MUTATES-STATE	yes	no	no	no	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	generic tool behind a book-specific filename
backend/scripts/typeset-diagnose.ts	BOOK-SPECIFIC	puberty/nottm	147	SAFE-READONLY	no	no	no	no	0	no	no	puberty/nottm	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/typeset-fingerprint.ts	BOOK-SPECIFIC	puberty/nottm	101	MUTATES-STATE	yes	no	no	no	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	generic tool behind a book-specific filename
backend/scripts/typeset-qa-layer1.ts	BOOK-SPECIFIC	puberty/nottm	418	MUTATES-STATE	yes	no	no	no	0	yes	no	puberty/nottm	backend/scripts/ (keep — has a package target)	KEEP	generic tool behind a book-specific filename
backend/scripts/typeset-qa.ts	BOOK-SPECIFIC	puberty/nottm	95	SAFE-READONLY	no	no	no	no	0	no	no	puberty/nottm	backend/src/pipeline/qa/ (promote in Phase 3)	PROMOTE (Phase 3)	generic tool behind a book-specific filename
backend/scripts/vendor-mono-font.ts	BOOK-SPECIFIC	dirt-rich	73	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/activate-newest.ts	MIGRATION	unassigned	14	MUTATES-STATE	yes	no	no	no	0	no	no	-	backend/scripts/archive/migrations/	ARCHIVE (one-time, already run)	
backend/scripts/backfill-editions.ts	MIGRATION	unassigned	12	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/archive/migrations/	ARCHIVE (one-time, already run)	
backend/scripts/backfill-entries.ts	MIGRATION	unassigned	21	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/archive/migrations/	ARCHIVE (one-time, already run)	
backend/scripts/derive-static-faces.ts	MIGRATION	platform	286	MUTATES-STATE	yes	no	no	no	0	yes	no	-	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/repair-storage-keys.ts	MIGRATION	unassigned	85	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/archive/migrations/	ARCHIVE (one-time, already run)	
backend/scripts/vendor-fonts.ts	MIGRATION	platform	89	SAFE-READONLY	no	no	no	no	0	yes	no	-	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/db-guard.ts	PLATFORM	platform	44	SAFE-READONLY	no	no	no	no	0	yes	no	-	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/extract-manuscript.ts	PLATFORM	unassigned	45	WRITES-FILES	no	no	no	yes	0	no	no	-	UNRESOLVED — needs review	RELOCATE (path move only)	
backend/scripts/heroes-data.ts	PLATFORM	platform	165	SPENDS	no	yes	no	no	3	no	no	-	backend/scripts/lib/ (shared toolchain)	RELOCATE (path move only)	
backend/scripts/lib/cover-blueprint.ts	PLATFORM	platform	468	SAFE-READONLY	no	no	no	no	2	no	no	-	backend/scripts/lib/ (shared toolchain)	RELOCATE (path move only)	
backend/scripts/publish-illustration.ts	PLATFORM	platform	116	MUTATES+SPENDS	yes	yes	no	no	0	yes	no	-	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/storage-prune.ts	PLATFORM	platform	119	SAFE-READONLY	yes	no	no	no	0	yes	no	-	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/batch-ai-review.ts	QA/DIAGNOSTIC	unassigned	219	SPENDS	yes	yes	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/book-ready-audit.ts	QA/DIAGNOSTIC	unassigned	41	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/check-active.ts	QA/DIAGNOSTIC	unassigned	15	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/check-page-fit.ts	QA/DIAGNOSTIC	unassigned	54	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/check-series.ts	QA/DIAGNOSTIC	unassigned	12	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/cover-spine-proof.ts	QA/DIAGNOSTIC	unassigned	67	WRITES-FILES	no	no	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/diag-print-sizes.ts	QA/DIAGNOSTIC	unassigned	43	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/diag-typeset-hang.ts	QA/DIAGNOSTIC	unassigned	187	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/dump-entry.ts	QA/DIAGNOSTIC	unassigned	28	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/dump-keys.ts	QA/DIAGNOSTIC	unassigned	23	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/dump-renders.ts	QA/DIAGNOSTIC	unassigned	21	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/dump-source.ts	QA/DIAGNOSTIC	unassigned	21	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/font-embed-probe.ts	QA/DIAGNOSTIC	platform	134	SAFE-READONLY	no	no	no	no	0	yes	no	-	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/font-system-probe.mjs	QA/DIAGNOSTIC	unassigned	183	SAFE-READONLY	no	no	no	no	0	no	yes	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/inspect-audit-sources.ts	QA/DIAGNOSTIC	unassigned	27	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/inspect-front-matter.ts	QA/DIAGNOSTIC	unassigned	58	WRITES-FILES	yes	no	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/inspect-page.ts	QA/DIAGNOSTIC	unassigned	17	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/list-binomial-openers.ts	QA/DIAGNOSTIC	unassigned	30	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/list-notstarted.ts	QA/DIAGNOSTIC	unassigned	25	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/list-pages.ts	QA/DIAGNOSTIC	unassigned	14	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/list-projects.ts	QA/DIAGNOSTIC	unassigned	8	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/local-ai-review.ts	QA/DIAGNOSTIC	unassigned	326	SPENDS	yes	yes	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/measure-review-routing.ts	QA/DIAGNOSTIC	unassigned	119	MUTATES-STATE	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/paperback-cover-preview.ts	QA/DIAGNOSTIC	unassigned	75	WRITES-FILES	no	no	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/pdf-page-proof.ts	QA/DIAGNOSTIC	unassigned	97	WRITES-FILES	no	no	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/prebuild-audit.ts	QA/DIAGNOSTIC	unassigned	83	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/probe-renders.ts	QA/DIAGNOSTIC	unassigned	18	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/punctuation-audit.ts	QA/DIAGNOSTIC	unassigned	132	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/show-blueprint.ts	QA/DIAGNOSTIC	unassigned	27	WRITES-FILES	no	no	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/show-override.ts	QA/DIAGNOSTIC	unassigned	16	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/subject-audit.ts	QA/DIAGNOSTIC	unassigned	24	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/test-preview.ts	QA/DIAGNOSTIC	unassigned	21	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/typeset-check.ts	QA/DIAGNOSTIC	unassigned	33	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/typeset-fingerprint-diff.ts	QA/DIAGNOSTIC	platform	214	SAFE-READONLY	no	no	no	no	0	yes	no	-	backend/scripts/ (keep — has a package target)	KEEP	
backend/scripts/typeset-route-check.ts	QA/DIAGNOSTIC	unassigned	51	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/verify-deploy.ts	QA/DIAGNOSTIC	unassigned	12	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/verify-dpi.ts	QA/DIAGNOSTIC	unassigned	38	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/verify-interior-geometry.ts	QA/DIAGNOSTIC	unassigned	119	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/verify-spot.ts	QA/DIAGNOSTIC	unassigned	191	WRITES-FILES	yes	no	no	yes	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/verify-text-fidelity.ts	QA/DIAGNOSTIC	unassigned	123	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/qa/	RELOCATE (path move only)	
backend/scripts/_activate.ts	SCRATCH	unassigned	20	MUTATES-STATE	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — MUTATES-STATE	
backend/scripts/_approve1.ts	SCRATCH	unassigned	14	MUTATES-STATE	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — MUTATES-STATE	
backend/scripts/_approveall.ts	SCRATCH	unassigned	23	MUTATES-STATE	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — MUTATES-STATE	
backend/scripts/_approverr.ts	SCRATCH	unassigned	28	MUTATES-STATE	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — MUTATES-STATE	
backend/scripts/_audit_all.ts	SCRATCH	unassigned	63	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE (proven no caller, read-only)	
backend/scripts/_audit.ts	SCRATCH	unassigned	40	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE (proven no caller, read-only)	
backend/scripts/_backmatter.ts	SCRATCH	unassigned	19	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE (proven no caller, read-only)	
backend/scripts/_badgecount.ts	SCRATCH	unassigned	34	SAFE-READONLY	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE (proven no caller, read-only)	
backend/scripts/_batch.ts	SCRATCH	unassigned	137	MUTATES+SPENDS	yes	yes	no	yes	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — MUTATES+SPENDS	
backend/scripts/_beforeafter.ts	SCRATCH	unassigned	47	WRITES-FILES	yes	no	no	yes	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — WRITES-FILES	
backend/scripts/_bookcfg.ts	SCRATCH	mg-chapter-book	38	MUTATES-STATE	yes	no	no	no	0	no	no	mg-chapter-book	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — MUTATES-STATE	
backend/scripts/_bpmany.ts	SCRATCH	unassigned	46	WRITES-FILES	yes	no	no	yes	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — WRITES-FILES	
backend/scripts/_buildbook.ts	SCRATCH	mg-chapter-book	241	DESTRUCTIVE	yes	no	YES	yes	0	no	no	mg-chapter-book	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — DESTRUCTIVE	contains a delete/drop/repaginate path
backend/scripts/_cachetest.ts	SCRATCH	unassigned	50	MUTATES-STATE	yes	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE WITH GUARD — MUTATES-STATE	
backend/scripts/_capacity.ts	SCRATCH	unassigned	60	SAFE-READONLY	no	no	no	no	0	no	no	-	backend/scripts/archive/scratch/	ARCHIVE (proven no caller, read-only)	
